CustomerID,Lookalikes
C0001,"[('C0190', 0.999999982108667), ('C0048', 0.9999999808308464), ('C0152', 0.999999915243503)]"
C0002,"[('C0029', 0.9999997125550519), ('C0142', 0.9999997053871563), ('C0010', 0.9999996883795537)]"
C0003,"[('C0052', 0.9999999896198248), ('C0158', 0.9999999188936243), ('C0133', 0.9999998768080538)]"
C0004,"[('C0021', 0.9999999659115772), ('C0101', 0.999999965461506), ('C0173', 0.9999999614437894)]"
C0005,"[('C0186', 0.9999999713571794), ('C0007', 0.9999999465020405), ('C0115', 0.9999998521489969)]"
C0006,"[('C0168', 0.9999999873315506), ('C0117', 0.9999999435734555), ('C0158', 0.9999999311361406)]"
C0007,"[('C0115', 0.9999999765243283), ('C0005', 0.9999999465020405), ('C0050', 0.9999998674362187)]"
C0008,"[('C0175', 0.999999655630328), ('C0065', 0.9999994578489263), ('C0141', 0.9999989609674352)]"
C0009,"[('C0077', 0.9999987702506024), ('C0062', 0.9999987350356361), ('C0043', 0.9999979599341852)]"
C0010,"[('C0029', 0.9999996889595073), ('C0002', 0.9999996883795537), ('C0199', 0.9999996729359156)]"
C0011,"[('C0137', 0.9999999867293378), ('C0187', 0.9999999658500284), ('C0191', 0.9999999443732218)]"
C0012,"[('C0155', 0.9999999644870017), ('C0108', 0.9999999556728587), ('C0013', 0.999999953771113)]"
C0013,"[('C0143', 0.9999999729444379), ('C0087', 0.9999999694719384), ('C0108', 0.9999999608186634)]"
C0014,"[('C0110', 0.9999950997177361), ('C0080', 0.9999949899885675), ('C0020', 0.999993433702656)]"
C0015,"[('C0063', 0.9999994525635952), ('C0123', 0.9999994525621061), ('C0144', 0.999999447446993)]"
C0016,"[('C0183', 0.9999999999658381), ('C0149', 0.9999999311210633), ('C0107', 0.9999999273855085)]"
C0017,"[('C0004', 0.9999999432065854), ('C0021', 0.99999994006904), ('C0101', 0.9999999330356749)]"
C0018,"[('C0171', 0.9999999580866692), ('C0187', 0.9999999556389048), ('C0064', 0.9999999310691571)]"
C0019,"[('C0172', 0.9999997976249054), ('C0116', 0.9999996717995405), ('C0127', 0.9999994564446133)]"
C0020,"[('C0080', 0.9999989176866254), ('C0078', 0.9999989062524091), ('C0110', 0.9999988491324071)]"
